Frame,Tiempo (Segundos),Objeto,Confianza (%),Nivel de Riesgo
360,12.0,Vehiculo,94.6,MEDIO
361,12.03,Vehiculo,94.7,MEDIO
362,12.07,Vehiculo,94.7,MEDIO
363,12.1,Vehiculo,94.7,MEDIO
364,12.13,Vehiculo,94.8,MEDIO
365,12.17,Vehiculo,94.8,MEDIO
366,12.2,Vehiculo,94.7,MEDIO
367,12.23,Vehiculo,94.8,MEDIO
368,12.27,Vehiculo,94.8,MEDIO
369,12.3,Vehiculo,94.8,MEDIO
370,12.33,Vehiculo,94.8,MEDIO
371,12.37,Vehiculo,94.8,MEDIO
372,12.4,Vehiculo,94.7,MEDIO
373,12.43,Vehiculo,94.8,MEDIO
374,12.47,Vehiculo,94.8,MEDIO
375,12.5,Vehiculo,94.8,MEDIO
376,12.53,Vehiculo,94.8,MEDIO
377,12.57,Vehiculo,94.8,MEDIO
378,12.6,Vehiculo,94.8,MEDIO
379,12.63,Vehiculo,94.7,MEDIO
380,12.67,Vehiculo,94.6,MEDIO
381,12.7,Vehiculo,94.6,MEDIO
382,12.73,Vehiculo,94.7,MEDIO
383,12.77,Vehiculo,94.8,MEDIO
384,12.8,Vehiculo,94.8,MEDIO
385,12.83,Vehiculo,94.8,MEDIO
386,12.87,Vehiculo,94.7,MEDIO
387,12.9,Vehiculo,94.7,MEDIO
388,12.93,Vehiculo,94.8,MEDIO
389,12.97,Vehiculo,94.9,MEDIO
390,13.0,Vehiculo,94.8,MEDIO
391,13.03,Vehiculo,94.9,MEDIO
392,13.07,Vehiculo,94.8,MEDIO
393,13.1,Vehiculo,94.9,MEDIO
394,13.13,Vehiculo,94.9,MEDIO
395,13.17,Vehiculo,94.8,MEDIO
396,13.2,Vehiculo,94.8,MEDIO
397,13.23,Vehiculo,94.9,MEDIO
398,13.27,Vehiculo,94.9,MEDIO
399,13.3,Vehiculo,94.8,MEDIO
400,13.33,Vehiculo,94.8,MEDIO
401,13.37,Vehiculo,94.9,MEDIO
402,13.4,Vehiculo,94.7,MEDIO
403,13.43,Vehiculo,94.6,MEDIO
404,13.47,Vehiculo,94.6,MEDIO
405,13.5,Vehiculo,94.6,MEDIO
406,13.53,Vehiculo,94.5,MEDIO
407,13.57,Vehiculo,94.5,MEDIO
408,13.6,Vehiculo,94.6,MEDIO
409,13.63,Vehiculo,94.6,MEDIO
410,13.67,Vehiculo,94.8,MEDIO
411,13.7,Vehiculo,94.8,MEDIO
412,13.73,Vehiculo,94.9,MEDIO
413,13.77,Vehiculo,94.7,MEDIO
414,13.8,Vehiculo,94.6,MEDIO
415,13.83,Vehiculo,94.8,MEDIO
416,13.87,Vehiculo,94.6,MEDIO
417,13.9,Vehiculo,94.6,MEDIO
418,13.93,Vehiculo,94.4,MEDIO
419,13.97,Vehiculo,94.4,MEDIO
420,14.0,Vehiculo,94.5,MEDIO
421,14.03,Vehiculo,94.5,MEDIO
422,14.07,Vehiculo,94.4,MEDIO
423,14.1,Vehiculo,94.5,MEDIO
424,14.13,Vehiculo,94.7,MEDIO
425,14.17,Vehiculo,94.5,MEDIO
426,14.2,Vehiculo,94.4,MEDIO
427,14.23,Vehiculo,94.5,MEDIO
428,14.27,Vehiculo,94.4,MEDIO
429,14.3,Vehiculo,94.4,MEDIO
430,14.33,Vehiculo,94.5,MEDIO
431,14.37,Vehiculo,94.5,MEDIO
432,14.4,Vehiculo,94.6,MEDIO
433,14.43,Vehiculo,94.6,MEDIO
434,14.47,Vehiculo,94.6,MEDIO
435,14.5,Vehiculo,94.5,MEDIO
436,14.53,Vehiculo,94.5,MEDIO
437,14.57,Vehiculo,94.6,MEDIO
438,14.6,Vehiculo,94.6,MEDIO
439,14.63,Vehiculo,94.5,MEDIO
440,14.67,Vehiculo,94.8,MEDIO
441,14.7,Vehiculo,94.8,MEDIO
442,14.73,Vehiculo,94.7,MEDIO
443,14.77,Vehiculo,94.7,MEDIO
444,14.8,Vehiculo,94.8,MEDIO
445,14.83,Vehiculo,94.7,MEDIO
446,14.87,Vehiculo,94.9,MEDIO
447,14.9,Vehiculo,94.9,MEDIO
448,14.93,Vehiculo,94.9,MEDIO
449,14.97,Vehiculo,95.0,MEDIO
450,15.0,Vehiculo,94.9,MEDIO
451,15.03,Vehiculo,94.8,MEDIO
452,15.07,Vehiculo,94.8,MEDIO
453,15.1,Vehiculo,94.8,MEDIO
454,15.13,Vehiculo,94.7,MEDIO
455,15.17,Vehiculo,94.7,MEDIO
456,15.2,Vehiculo,94.7,MEDIO
457,15.23,Vehiculo,94.8,MEDIO
458,15.27,Vehiculo,94.9,MEDIO
459,15.3,Vehiculo,94.7,MEDIO
460,15.33,Vehiculo,94.8,MEDIO
461,15.37,Vehiculo,94.7,MEDIO
462,15.4,Vehiculo,94.6,MEDIO
463,15.43,Vehiculo,94.7,MEDIO
464,15.47,Vehiculo,94.6,MEDIO
465,15.5,Vehiculo,94.6,MEDIO
466,15.53,Vehiculo,94.5,MEDIO
467,15.57,Vehiculo,94.5,MEDIO
468,15.6,Vehiculo,94.6,MEDIO
469,15.63,Vehiculo,94.6,MEDIO
470,15.67,Vehiculo,94.7,MEDIO
471,15.7,Vehiculo,94.9,MEDIO
472,15.73,Vehiculo,95.0,MEDIO
473,15.77,Vehiculo,94.9,MEDIO
474,15.8,Vehiculo,94.9,MEDIO
475,15.83,Vehiculo,94.9,MEDIO
476,15.87,Vehiculo,94.9,MEDIO
477,15.9,Vehiculo,94.8,MEDIO
478,15.93,Vehiculo,94.8,MEDIO
479,15.97,Vehiculo,94.7,MEDIO
480,16.0,Vehiculo,94.7,MEDIO
481,16.03,Vehiculo,94.7,MEDIO
482,16.07,Vehiculo,94.7,MEDIO
483,16.1,Vehiculo,94.6,MEDIO
484,16.13,Vehiculo,94.6,MEDIO
485,16.17,Vehiculo,94.5,MEDIO
486,16.2,Vehiculo,94.7,MEDIO
487,16.23,Vehiculo,94.9,MEDIO
488,16.27,Vehiculo,94.9,MEDIO
489,16.3,Vehiculo,94.7,MEDIO
490,16.33,Vehiculo,94.7,MEDIO
491,16.37,Vehiculo,94.6,MEDIO
492,16.4,Vehiculo,94.5,MEDIO
493,16.43,Vehiculo,94.5,MEDIO
494,16.47,Vehiculo,94.4,MEDIO
495,16.5,Vehiculo,94.6,MEDIO
496,16.53,Vehiculo,94.5,MEDIO
497,16.57,Vehiculo,94.5,MEDIO
498,16.6,Vehiculo,94.5,MEDIO
499,16.63,Vehiculo,94.6,MEDIO
500,16.67,Vehiculo,94.5,MEDIO
501,16.7,Vehiculo,94.6,MEDIO
502,16.73,Vehiculo,94.7,MEDIO
503,16.77,Vehiculo,94.7,MEDIO
504,16.8,Vehiculo,94.7,MEDIO
505,16.83,Vehiculo,94.6,MEDIO
506,16.87,Vehiculo,94.6,MEDIO
507,16.9,Vehiculo,94.7,MEDIO
508,16.93,Vehiculo,94.5,MEDIO
509,16.97,Vehiculo,94.4,MEDIO
510,17.0,Vehiculo,94.6,MEDIO
511,17.03,Vehiculo,94.6,MEDIO
512,17.07,Vehiculo,94.8,MEDIO
513,17.1,Vehiculo,94.6,MEDIO
514,17.13,Vehiculo,94.7,MEDIO
515,17.17,Vehiculo,94.7,MEDIO
516,17.2,Vehiculo,94.9,MEDIO
517,17.23,Vehiculo,94.9,MEDIO
518,17.27,Vehiculo,94.8,MEDIO
519,17.3,Vehiculo,94.9,MEDIO
520,17.33,Vehiculo,94.8,MEDIO
521,17.37,Vehiculo,94.7,MEDIO
522,17.4,Vehiculo,94.7,MEDIO
523,17.43,Vehiculo,94.4,MEDIO
524,17.47,Vehiculo,94.6,MEDIO
525,17.5,Vehiculo,94.4,MEDIO
526,17.53,Vehiculo,94.6,MEDIO
527,17.57,Vehiculo,94.6,MEDIO
528,17.6,Vehiculo,94.5,MEDIO
529,17.63,Vehiculo,94.2,MEDIO
530,17.67,Vehiculo,94.2,MEDIO
531,17.7,Vehiculo,94.4,MEDIO
532,17.73,Vehiculo,94.5,MEDIO
533,17.77,Vehiculo,94.5,MEDIO
534,17.8,Vehiculo,94.4,MEDIO
535,17.83,Vehiculo,94.5,MEDIO
536,17.87,Vehiculo,94.5,MEDIO
537,17.9,Vehiculo,94.4,MEDIO
538,17.93,Vehiculo,94.4,MEDIO
539,17.97,Vehiculo,94.5,MEDIO
540,18.0,Vehiculo,94.7,MEDIO
541,18.03,Vehiculo,94.6,MEDIO
542,18.07,Vehiculo,94.6,MEDIO
543,18.1,Vehiculo,94.5,MEDIO
544,18.13,Vehiculo,94.5,MEDIO
545,18.17,Vehiculo,94.3,MEDIO
546,18.2,Vehiculo,94.4,MEDIO
547,18.23,Vehiculo,94.5,MEDIO
548,18.27,Vehiculo,94.5,MEDIO
549,18.3,Vehiculo,94.5,MEDIO
550,18.33,Vehiculo,94.3,MEDIO
551,18.37,Vehiculo,94.3,MEDIO
552,18.4,Vehiculo,94.3,MEDIO
553,18.43,Vehiculo,94.5,MEDIO
554,18.47,Vehiculo,94.5,MEDIO
555,18.5,Vehiculo,94.5,MEDIO
556,18.53,Vehiculo,94.5,MEDIO
557,18.57,Vehiculo,94.6,MEDIO
558,18.6,Vehiculo,94.7,MEDIO
559,18.63,Vehiculo,94.7,MEDIO
560,18.67,Vehiculo,94.7,MEDIO
561,18.7,Vehiculo,94.7,MEDIO
562,18.73,Vehiculo,94.6,MEDIO
563,18.77,Vehiculo,94.5,MEDIO
564,18.8,Vehiculo,94.4,MEDIO
565,18.83,Vehiculo,94.5,MEDIO
566,18.87,Vehiculo,94.6,MEDIO
567,18.9,Vehiculo,94.6,MEDIO
568,18.93,Vehiculo,94.6,MEDIO
569,18.97,Vehiculo,94.4,MEDIO
570,19.0,Vehiculo,94.4,MEDIO
571,19.03,Vehiculo,94.5,MEDIO
572,19.07,Vehiculo,94.5,MEDIO
573,19.1,Vehiculo,94.5,MEDIO
574,19.13,Vehiculo,94.7,MEDIO
575,19.17,Vehiculo,94.6,MEDIO
576,19.2,Vehiculo,94.4,MEDIO
577,19.23,Vehiculo,94.4,MEDIO
578,19.27,Vehiculo,94.5,MEDIO
579,19.3,Vehiculo,94.3,MEDIO
580,19.33,Vehiculo,94.5,MEDIO
581,19.37,Vehiculo,94.3,MEDIO
582,19.4,Vehiculo,94.3,MEDIO
583,19.43,Vehiculo,94.6,MEDIO
584,19.47,Vehiculo,94.6,MEDIO
585,19.5,Vehiculo,94.5,MEDIO
586,19.53,Vehiculo,94.5,MEDIO
